cve_id,hash,repo_url,fix_date,introduced_date
RUSTSEC-2019-0013,4bda3d9e3837e90008de3a26fb0d8182fc5227e,https://github.com/mvdnes/spin-rs,2019-06-30 05:30:34+01:00,2019-06-30 05:28:47+01:00
RUSTSEC-2020-0081,75cdea2c14c81678dbecdfba67c8b75c583b1cd4,https://github.com/tokio-rs/mio,2020-11-06 21:42:26+01:00,2020-01-03 21:16:18+00:00
RUSTSEC-2020-0081,a790f9935ab0f74f28d24507c19b7ac0ad0e3b14,https://github.com/tokio-rs/mio,2020-11-06 10:05:22+01:00,2019-08-13 10:02:58-07:00
RUSTSEC-2021-0009,f1320f02cb404ec6e8ad5ef638260dcacc9c8b9,https://github.com/liebharc/basic_dsp,2021-01-10 20:48:21-05:00,2020-05-04 21:11:40+02:00
GHSA-xvc9-xwgj-4cq9,b3a53796b7335d22b9c3d6810dda3fc9acf15df,https://github.com/hyperium/http,2019-11-25 15:54:04-08:00,
GHSA-c3cw-c387-pj65,a064d69ba4a62d455cab67693cd61e6509db5a1,https://github.com/crossbeam-rs/crossbeam,2018-07-25 17:18:35+02:00,2015-08-26 17:37:25-07:00
GHSA-rm4w-6696-r77p,4496dd9c1cf543536c024c6d47f0b62613c75f5,https://github.com/smol-rs/nb-connect,2021-01-11 13:45:31+01:00,2020-09-16 11:20:09+02:00
RUSTSEC-2019-0009,4ba0d0f689440963e38b8adbe7fc2cabc6e573d,https://github.com/servo/rust-smallvec,2019-06-07 18:30:10-07:00,
GHSA-rh89-x75f-rh3c,31a8de9c2f9b096352c4df3877aa8d3df5b73d0,https://github.com/Gilnaa/memoffset,2019-07-02 20:56:30+03:00,2017-10-16 22:51:37+03:00
RUSTSEC-2020-0062,2d7317336ebaba7a6ffd778dbc8c52b5bbbd151,https://github.com/rust-lang/futures-rs,2020-01-29 00:45:48-08:00,2017-05-16 08:34:13-07:00
GHSA-c3m3-c39q-pv23,70c87a49451c4dfcb170461ad9c55fe2f104b7b,https://github.com/gnzlbg/slice_deque,2018-12-05 12:18:04+01:00,2018-07-19 10:13:27+02:00
GHSA-wr55-mf5c-hhwm,11f396ca9accf6ae000db13a44505b57608733c,https://github.com/Richard-W/late-static,2020-11-12 18:35:28+01:00,2019-02-04 18:23:03+01:00
GHSA-rxr4-x558-x7hw,26b249075930b46cfafc70b1d18fd0cb35fd231,https://github.com/servo/rust-smallvec,2018-07-18 16:12:32-07:00,2016-09-21 00:33:27-07:00
GHSA-rxr4-x558-x7hw,1f4025218c4321ea42ad01d80dd6110def2d86d,https://github.com/servo/rust-smallvec,2018-07-18 16:12:32-07:00,2018-05-07 13:30:55+02:00
RUSTSEC-2022-0007,b1f4e6d166b6c5cc693bfbfe5856db4b098dbd8,https://github.com/uazu/qcell,2021-09-18 17:57:03+02:00,2019-07-24 12:41:20-05:00
RUSTSEC-2022-0007,b03b1588858f0a47ab5909bfa6b4e1b395292b16,https://github.com/uazu/qcell,2021-09-18 18:21:06+02:00,2019-03-18 17:22:26-05:00
RUSTSEC-2020-0059,392a889f02c17edf0df4a9c08c134896b045387,https://github.com/rust-lang/futures-rs,2020-10-24 00:58:11+09:00,2020-01-29 12:48:11-08:00
RUSTSEC-2021-0012,0e6006de464caa331643f86cd2d9ba3b32b0983,https://github.com/hrektts/cdr-rs,2021-01-23 12:29:07+09:00,2017-12-22 00:44:11+09:00
GHSA-j8qq-58cr-8cc7,aabf5562f8c6374ab30f615b28e0cff9b5c79e5,https://github.com/Enet4/bra-rs,2021-01-03 14:21:17+00:00,2019-03-01 15:08:56+00:00
